External_Case_ID__c,Player_ID__c,Controller_Serial__c,Subject,Description,Status,Type,Origin
CASE-000198,PLAYER826,ZCT1W-Q7207712,Right stick drift concern,Synthetic support record for PLAYER826: Right stick drift concern.,Closed,Technical,Email
CASE-000199,PLAYER050,ZCT2E-D9874478,Intermittent disconnects,Synthetic support record for PLAYER050: Intermittent disconnects.,Closed,Technical,Web
CASE-000200,PLAYER976,ZCT2E-J9166743,Controller not charging,Synthetic support record for PLAYER976: Controller not charging.,Closed,Technical,Email
CASE-000201,PLAYER334,ZCT1W-K2254551,Right stick drift concern,Synthetic support record for PLAYER334: Right stick drift concern.,Closed,Technical,Phone
CASE-000202,PLAYER107,ZCT1W-S8641031,Controller not charging,Synthetic support record for PLAYER107: Controller not charging.,Closed,Technical,Email
CASE-000203,PLAYER793,ZCT2E-P6739966,Input lag noticed,Synthetic support record for PLAYER793: Input lag noticed.,Closed,Technical,Web
CASE-000204,PLAYER190,ZCT2E-D7818036,Controller not charging,Synthetic support record for PLAYER190: Controller not charging.,Closed,Technical,Phone
CASE-000205,PLAYER611,ZCT2E-D8916176,Intermittent disconnects,Synthetic support record for PLAYER611: Intermittent disconnects.,Closed,Technical,Phone
CASE-000206,PLAYER594,ZCT2E-R3736881,Intermittent disconnects,Synthetic support record for PLAYER594: Intermittent disconnects.,Closed,Technical,Web
CASE-000207,PLAYER043,ZCT2E-W4231751,Trigger feels loose,Synthetic support record for PLAYER043: Trigger feels loose.,Closed,Technical,Phone
CASE-000208,PLAYER443,ZCT1W-G9217672,Controller not charging,Synthetic support record for PLAYER443: Controller not charging.,Closed,Technical,Web
CASE-000209,PLAYER699,ZCT2E-H4673793,Right stick drift concern,Synthetic support record for PLAYER699: Right stick drift concern.,Closed,Technical,Phone
CASE-000210,PLAYER145,ZCT1W-M3370243,Intermittent disconnects,Synthetic support record for PLAYER145: Intermittent disconnects.,Closed,Technical,Email
CASE-000211,PLAYER254,ZCT1W-G1220253,Controller not charging,Synthetic support record for PLAYER254: Controller not charging.,Closed,Technical,Email
CASE-000212,PLAYER556,ZCT1W-M1381170,Input lag noticed,Synthetic support record for PLAYER556: Input lag noticed.,Closed,Technical,Web
CASE-000213,PLAYER305,ZCT1W-S8445994,Intermittent disconnects,Synthetic support record for PLAYER305: Intermittent disconnects.,New,Technical,Phone
CASE-000214,PLAYER625,ZCT2E-H6479762,Intermittent disconnects,Synthetic support record for PLAYER625: Intermittent disconnects.,New,Technical,Phone
CASE-000215,PLAYER798,ZCT1W-C1161820,Trigger feels loose,Synthetic support record for PLAYER798: Trigger feels loose.,Closed,Technical,Phone
CASE-000216,PLAYER442,ZCT1W-Q7204577,Trigger feels loose,Synthetic support record for PLAYER442: Trigger feels loose.,Closed,Technical,Phone
CASE-000217,PLAYER918,ZCT2E-W7068696,Controller not charging,Synthetic support record for PLAYER918: Controller not charging.,Closed,Technical,Web
CASE-000218,PLAYER497,ZCT2E-A3663391,Trigger feels loose,Synthetic support record for PLAYER497: Trigger feels loose.,Closed,Technical,Web
CASE-000219,PLAYER428,ZCT2E-T2064762,Trigger feels loose,Synthetic support record for PLAYER428: Trigger feels loose.,Closed,Technical,Phone
CASE-000220,PLAYER798,ZCT1W-C1161820,Input lag noticed,Synthetic support record for PLAYER798: Input lag noticed.,Closed,Technical,Email
CASE-000221,PLAYER013,ZCT1W-H1881916,Intermittent disconnects,Synthetic support record for PLAYER013: Intermittent disconnects.,Closed,Technical,Phone
CASE-000222,PLAYER741,ZCT1W-V5331630,Trigger feels loose,Synthetic support record for PLAYER741: Trigger feels loose.,Closed,Technical,Web
CASE-000223,PLAYER074,ZCT2E-N7279870,Input lag noticed,Synthetic support record for PLAYER074: Input lag noticed.,Closed,Technical,Email
CASE-000224,PLAYER201,ZCT2E-G4739295,Input lag noticed,Synthetic support record for PLAYER201: Input lag noticed.,Closed,Technical,Email
CASE-000225,PLAYER793,ZCT2E-P6739966,Input lag noticed,Synthetic support record for PLAYER793: Input lag noticed.,Closed,Technical,Web
CASE-000226,PLAYER421,ZCT1W-R9206984,Input lag noticed,Synthetic support record for PLAYER421: Input lag noticed.,Closed,Technical,Web
CASE-000227,PLAYER912,ZCT1W-E6038921,Trigger feels loose,Synthetic support record for PLAYER912: Trigger feels loose.,Closed,Technical,Web
CASE-000228,PLAYER650,ZCT2E-E6416968,Trigger feels loose,Synthetic support record for PLAYER650: Trigger feels loose.,New,Technical,Phone
CASE-000229,PLAYER952,ZCT2E-F7778101,Controller not charging,Synthetic support record for PLAYER952: Controller not charging.,New,Technical,Phone
CASE-000230,PLAYER040,ZCT2E-J7405244,Input lag noticed,Synthetic support record for PLAYER040: Input lag noticed.,Closed,Technical,Phone
CASE-000231,PLAYER378,ZCT1W-D4548039,Controller not charging,Synthetic support record for PLAYER378: Controller not charging.,Closed,Technical,Phone
CASE-000232,PLAYER986,ZCT1W-E4263058,Trigger feels loose,Synthetic support record for PLAYER986: Trigger feels loose.,Closed,Technical,Phone
CASE-000233,PLAYER744,ZCT2E-E4740892,Controller not charging,Synthetic support record for PLAYER744: Controller not charging.,Closed,Technical,Phone
CASE-000234,PLAYER082,ZCT1W-D1354875,Trigger feels loose,Synthetic support record for PLAYER082: Trigger feels loose.,New,Technical,Email
CASE-000235,PLAYER420,ZCT2E-X2904822,Intermittent disconnects,Synthetic support record for PLAYER420: Intermittent disconnects.,Closed,Technical,Web
CASE-000236,PLAYER410,ZCT1W-L1643521,Intermittent disconnects,Synthetic support record for PLAYER410: Intermittent disconnects.,Closed,Technical,Email
CASE-000237,PLAYER556,ZCT1W-M1381170,Input lag noticed,Synthetic support record for PLAYER556: Input lag noticed.,Closed,Technical,Email
CASE-000238,PLAYER233,ZCT2E-A2923507,Right stick drift concern,Synthetic support record for PLAYER233: Right stick drift concern.,Closed,Technical,Phone
CASE-000239,PLAYER968,ZCT2E-E1009619,Input lag noticed,Synthetic support record for PLAYER968: Input lag noticed.,New,Technical,Phone
CASE-000240,PLAYER473,ZCT2E-S1218011,Input lag noticed,Synthetic support record for PLAYER473: Input lag noticed.,Closed,Technical,Web
CASE-000241,PLAYER397,ZCT2E-Q3964907,Intermittent disconnects,Synthetic support record for PLAYER397: Intermittent disconnects.,New,Technical,Email
CASE-000242,PLAYER390,ZCT2E-W4323637,Input lag noticed,Synthetic support record for PLAYER390: Input lag noticed.,Closed,Technical,Web
CASE-000243,PLAYER800,ZCT1W-V3046457,Input lag noticed,Synthetic support record for PLAYER800: Input lag noticed.,Closed,Technical,Web
CASE-000244,PLAYER844,ZCT1W-S1937161,Right stick drift concern,Synthetic support record for PLAYER844: Right stick drift concern.,Closed,Technical,Web
CASE-000245,PLAYER380,ZCT1W-N2316088,Intermittent disconnects,Synthetic support record for PLAYER380: Intermittent disconnects.,Closed,Technical,Web
CASE-000246,PLAYER730,ZCT2E-X2657259,Controller not charging,Synthetic support record for PLAYER730: Controller not charging.,Closed,Technical,Web
CASE-000247,PLAYER569,ZCT2E-V1599695,Input lag noticed,Synthetic support record for PLAYER569: Input lag noticed.,New,Technical,Email
CASE-000248,PLAYER495,ZCT1W-R3345711,Intermittent disconnects,Synthetic support record for PLAYER495: Intermittent disconnects.,Closed,Technical,Web
CASE-000249,PLAYER694,ZCT2E-T3984802,Right stick drift concern,Synthetic support record for PLAYER694: Right stick drift concern.,Closed,Technical,Phone
CASE-000250,PLAYER620,ZCT1W-C2545911,Controller not charging,Synthetic support record for PLAYER620: Controller not charging.,Closed,Technical,Email
CASE-000251,PLAYER216,ZCT1W-W1388238,Trigger feels loose,Synthetic support record for PLAYER216: Trigger feels loose.,New,Technical,Web
CASE-000252,PLAYER098,ZCT2E-G9951610,Right stick drift concern,Synthetic support record for PLAYER098: Right stick drift concern.,New,Technical,Phone
CASE-000253,PLAYER399,ZCT2E-K6415686,Trigger feels loose,Synthetic support record for PLAYER399: Trigger feels loose.,Closed,Technical,Phone
CASE-000254,PLAYER760,ZCT2E-U7476923,Trigger feels loose,Synthetic support record for PLAYER760: Trigger feels loose.,Closed,Technical,Phone
CASE-000255,PLAYER016,ZCT2E-N2204993,Right stick drift concern,Synthetic support record for PLAYER016: Right stick drift concern.,Closed,Technical,Web
CASE-000256,PLAYER039,ZCT2E-J3155739,Trigger feels loose,Synthetic support record for PLAYER039: Trigger feels loose.,Closed,Technical,Phone
CASE-000257,PLAYER453,ZCT2E-S5215097,Right stick drift concern,Synthetic support record for PLAYER453: Right stick drift concern.,Closed,Technical,Phone
CASE-000258,PLAYER362,ZCT1W-T5963118,Trigger feels loose,Synthetic support record for PLAYER362: Trigger feels loose.,New,Technical,Web
CASE-000259,PLAYER888,ZCT2E-T7626337,Controller not charging,Synthetic support record for PLAYER888: Controller not charging.,New,Technical,Web
CASE-000260,PLAYER368,ZCT1W-Q4016609,Intermittent disconnects,Synthetic support record for PLAYER368: Intermittent disconnects.,Closed,Technical,Email
CASE-000261,PLAYER489,ZCT1W-N5816345,Input lag noticed,Synthetic support record for PLAYER489: Input lag noticed.,Closed,Technical,Web
CASE-000262,PLAYER877,ZCT2E-R4400718,Controller not charging,Synthetic support record for PLAYER877: Controller not charging.,New,Technical,Email
CASE-000263,PLAYER276,ZCT2E-A6916088,Controller not charging,Synthetic support record for PLAYER276: Controller not charging.,New,Technical,Web
CASE-000264,PLAYER027,ZCT1W-D2956687,Right stick drift concern,Synthetic support record for PLAYER027: Right stick drift concern.,New,Technical,Phone
CASE-000265,PLAYER198,ZCT2E-V2664720,Right stick drift concern,Synthetic support record for PLAYER198: Right stick drift concern.,New,Technical,Phone
CASE-000266,PLAYER454,ZCT2E-E3755459,Intermittent disconnects,Synthetic support record for PLAYER454: Intermittent disconnects.,Closed,Technical,Phone
CASE-000267,PLAYER071,ZCT1W-N6948065,Input lag noticed,Synthetic support record for PLAYER071: Input lag noticed.,Closed,Technical,Phone
CASE-000268,PLAYER797,ZCT1W-F7264416,Intermittent disconnects,Synthetic support record for PLAYER797: Intermittent disconnects.,New,Technical,Web
CASE-000269,PLAYER999,ZCT2E-B8308548,Right stick drift concern,Synthetic support record for PLAYER999: Right stick drift concern.,Closed,Technical,Phone
CASE-000270,PLAYER221,ZCT2E-W8564486,Controller not charging,Synthetic support record for PLAYER221: Controller not charging.,Closed,Technical,Email
CASE-000271,PLAYER345,ZCT1W-U1168605,Right stick drift concern,Synthetic support record for PLAYER345: Right stick drift concern.,Closed,Technical,Phone
CASE-000272,PLAYER593,ZCT1W-L5618572,Input lag noticed,Synthetic support record for PLAYER593: Input lag noticed.,Closed,Technical,Phone
CASE-000273,PLAYER117,ZCT1W-Q4104255,Right stick drift concern,Synthetic support record for PLAYER117: Right stick drift concern.,Closed,Technical,Web
CASE-000274,PLAYER817,ZCT1W-E6313738,Right stick drift concern,Synthetic support record for PLAYER817: Right stick drift concern.,Closed,Technical,Phone
CASE-000275,PLAYER828,ZCT2E-T6716959,Input lag noticed,Synthetic support record for PLAYER828: Input lag noticed.,Closed,Technical,Email
CASE-000276,PLAYER117,ZCT1W-Q4104255,Right stick drift concern,Synthetic support record for PLAYER117: Right stick drift concern.,Closed,Technical,Email
CASE-000277,PLAYER259,ZCT2E-D2848835,Right stick drift concern,Synthetic support record for PLAYER259: Right stick drift concern.,New,Technical,Phone
CASE-000278,PLAYER529,ZCT1W-C9975562,Controller not charging,Synthetic support record for PLAYER529: Controller not charging.,Closed,Technical,Web
CASE-000279,PLAYER275,ZCT2E-M5317440,Controller not charging,Synthetic support record for PLAYER275: Controller not charging.,Closed,Technical,Phone
CASE-000280,PLAYER609,ZCT2E-R5191722,Trigger feels loose,Synthetic support record for PLAYER609: Trigger feels loose.,New,Technical,Email
CASE-000281,PLAYER740,ZCT1W-M7743748,Right stick drift concern,Synthetic support record for PLAYER740: Right stick drift concern.,Closed,Technical,Email
CASE-000282,PLAYER508,ZCT1W-R7611016,Trigger feels loose,Synthetic support record for PLAYER508: Trigger feels loose.,Closed,Technical,Web
CASE-000283,PLAYER251,ZCT2E-J6400776,Right stick drift concern,Synthetic support record for PLAYER251: Right stick drift concern.,New,Technical,Web
CASE-000284,PLAYER949,ZCT2E-A5558760,Intermittent disconnects,Synthetic support record for PLAYER949: Intermittent disconnects.,New,Technical,Web
CASE-000285,PLAYER265,ZCT1W-W5176591,Controller not charging,Synthetic support record for PLAYER265: Controller not charging.,Closed,Technical,Web
CASE-000286,PLAYER947,ZCT1W-H2683872,Intermittent disconnects,Synthetic support record for PLAYER947: Intermittent disconnects.,Closed,Technical,Phone
CASE-000287,PLAYER315,ZCT1W-M6692359,Controller not charging,Synthetic support record for PLAYER315: Controller not charging.,Closed,Technical,Web
CASE-000288,PLAYER833,ZCT1W-H1051224,Intermittent disconnects,Synthetic support record for PLAYER833: Intermittent disconnects.,New,Technical,Email
CASE-000289,PLAYER821,ZCT2E-V5854015,Controller not charging,Synthetic support record for PLAYER821: Controller not charging.,New,Technical,Web
CASE-000290,PLAYER819,ZCT2E-T5658522,Input lag noticed,Synthetic support record for PLAYER819: Input lag noticed.,Closed,Technical,Email
CASE-000291,PLAYER936,ZCT1W-G5275016,Right stick drift concern,Synthetic support record for PLAYER936: Right stick drift concern.,Closed,Technical,Phone
CASE-000292,PLAYER705,ZCT2E-T6259401,Controller not charging,Synthetic support record for PLAYER705: Controller not charging.,Closed,Technical,Email
CASE-000293,PLAYER880,ZCT1W-B5806959,Intermittent disconnects,Synthetic support record for PLAYER880: Intermittent disconnects.,New,Technical,Phone
CASE-000294,PLAYER467,ZCT2E-E8335724,Controller not charging,Synthetic support record for PLAYER467: Controller not charging.,Closed,Technical,Email
CASE-000295,PLAYER279,ZCT2E-M4461265,Controller not charging,Synthetic support record for PLAYER279: Controller not charging.,Closed,Technical,Email
CASE-000296,PLAYER483,ZCT2E-C3895499,Controller not charging,Synthetic support record for PLAYER483: Controller not charging.,New,Technical,Email
CASE-000297,PLAYER313,ZCT1W-F7002009,Intermittent disconnects,Synthetic support record for PLAYER313: Intermittent disconnects.,New,Technical,Phone
CASE-000298,PLAYER598,ZCT1W-U3593718,Intermittent disconnects,Synthetic support record for PLAYER598: Intermittent disconnects.,New,Technical,Phone
CASE-000299,PLAYER557,ZCT1W-F8680087,Right stick drift concern,Synthetic support record for PLAYER557: Right stick drift concern.,New,Technical,Web
CASE-000300,PLAYER110,ZCT1W-G9969014,Intermittent disconnects,Synthetic support record for PLAYER110: Intermittent disconnects.,Closed,Technical,Email
CASE-000301,PLAYER191,ZCT1W-W8538483,Input lag noticed,Synthetic support record for PLAYER191: Input lag noticed.,Closed,Technical,Web
CASE-000302,PLAYER856,ZCT2E-S3754469,Right stick drift concern,Synthetic support record for PLAYER856: Right stick drift concern.,Closed,Technical,Email
CASE-000303,PLAYER868,ZCT1W-M4612279,Input lag noticed,Synthetic support record for PLAYER868: Input lag noticed.,Closed,Technical,Email
CASE-000304,PLAYER650,ZCT2E-E6416968,Right stick drift concern,Synthetic support record for PLAYER650: Right stick drift concern.,New,Technical,Email
CASE-000305,PLAYER048,ZCT1W-D7327627,Right stick drift concern,Synthetic support record for PLAYER048: Right stick drift concern.,New,Technical,Phone
CASE-000306,PLAYER491,ZCT1W-R6958480,Right stick drift concern,Synthetic support record for PLAYER491: Right stick drift concern.,Closed,Technical,Phone
CASE-000307,PLAYER114,ZCT2E-W4458774,Right stick drift concern,Synthetic support record for PLAYER114: Right stick drift concern.,New,Technical,Phone
CASE-000308,PLAYER891,ZCT1W-K5057290,Right stick drift concern,Synthetic support record for PLAYER891: Right stick drift concern.,Closed,Technical,Email
CASE-000309,PLAYER986,ZCT1W-E4263058,Right stick drift concern,Synthetic support record for PLAYER986: Right stick drift concern.,New,Technical,Email
CASE-000310,PLAYER535,ZCT1W-B7278644,Intermittent disconnects,Synthetic support record for PLAYER535: Intermittent disconnects.,Closed,Technical,Email
CASE-000311,PLAYER813,ZCT2E-K9205525,Right stick drift concern,Synthetic support record for PLAYER813: Right stick drift concern.,Closed,Technical,Phone
CASE-000312,PLAYER805,ZCT1W-S1105921,Trigger feels loose,Synthetic support record for PLAYER805: Trigger feels loose.,Closed,Technical,Web
CASE-000313,PLAYER582,ZCT1W-L9513036,Right stick drift concern,Synthetic support record for PLAYER582: Right stick drift concern.,Closed,Technical,Email
CASE-000314,PLAYER467,ZCT1W-V4588635,Intermittent disconnects,Synthetic support record for PLAYER467: Intermittent disconnects.,New,Technical,Web
CASE-000315,PLAYER686,ZCT2E-D5903591,Intermittent disconnects,Synthetic support record for PLAYER686: Intermittent disconnects.,New,Technical,Web
CASE-000316,PLAYER592,ZCT2E-S5760630,Trigger feels loose,Synthetic support record for PLAYER592: Trigger feels loose.,Closed,Technical,Email
CASE-000317,PLAYER451,ZCT2E-E8015348,Input lag noticed,Synthetic support record for PLAYER451: Input lag noticed.,Closed,Technical,Web
CASE-000318,PLAYER519,ZCT2E-A9156065,Trigger feels loose,Synthetic support record for PLAYER519: Trigger feels loose.,Closed,Technical,Web
CASE-000319,PLAYER095,ZCT2E-K2871139,Trigger feels loose,Synthetic support record for PLAYER095: Trigger feels loose.,Closed,Technical,Email
CASE-000320,PLAYER328,ZCT1W-E1087850,Input lag noticed,Synthetic support record for PLAYER328: Input lag noticed.,New,Technical,Web
CASE-000321,PLAYER893,ZCT1W-C5251915,Intermittent disconnects,Synthetic support record for PLAYER893: Intermittent disconnects.,Closed,Technical,Phone
CASE-000322,PLAYER320,ZCT1W-X2782083,Trigger feels loose,Synthetic support record for PLAYER320: Trigger feels loose.,New,Technical,Email
CASE-000323,PLAYER847,ZCT2E-L2167300,Intermittent disconnects,Synthetic support record for PLAYER847: Intermittent disconnects.,Closed,Technical,Email
CASE-000324,PLAYER438,ZCT2E-P2561327,Controller not charging,Synthetic support record for PLAYER438: Controller not charging.,Closed,Technical,Email
CASE-000325,PLAYER022,ZCT2E-F1880336,Trigger feels loose,Synthetic support record for PLAYER022: Trigger feels loose.,Closed,Technical,Web
CASE-000326,PLAYER422,ZCT2E-J9514225,Right stick drift concern,Synthetic support record for PLAYER422: Right stick drift concern.,Closed,Technical,Email
CASE-000327,PLAYER215,ZCT1W-N5370124,Controller not charging,Synthetic support record for PLAYER215: Controller not charging.,Closed,Technical,Email
CASE-000328,PLAYER380,ZCT1W-N2316088,Right stick drift concern,Synthetic support record for PLAYER380: Right stick drift concern.,New,Technical,Phone
CASE-000329,PLAYER929,ZCT1W-L6438575,Controller not charging,Synthetic support record for PLAYER929: Controller not charging.,Closed,Technical,Phone
CASE-000330,PLAYER698,ZCT1W-H3600666,Intermittent disconnects,Synthetic support record for PLAYER698: Intermittent disconnects.,Closed,Technical,Phone
CASE-000331,PLAYER083,ZCT1W-X4967894,Controller not charging,Synthetic support record for PLAYER083: Controller not charging.,Closed,Technical,Web
CASE-000332,PLAYER034,ZCT1W-S6009306,Controller not charging,Synthetic support record for PLAYER034: Controller not charging.,New,Technical,Phone
CASE-000333,PLAYER616,ZCT2E-Q4819874,Trigger feels loose,Synthetic support record for PLAYER616: Trigger feels loose.,Closed,Technical,Web
CASE-000334,PLAYER149,ZCT2E-T5329433,Controller not charging,Synthetic support record for PLAYER149: Controller not charging.,Closed,Technical,Email
CASE-000335,PLAYER066,ZCT2E-F7262661,Right stick drift concern,Synthetic support record for PLAYER066: Right stick drift concern.,Closed,Technical,Web
CASE-000336,PLAYER294,ZCT2E-T4076474,Trigger feels loose,Synthetic support record for PLAYER294: Trigger feels loose.,New,Technical,Phone
CASE-000337,PLAYER858,ZCT1W-L5367811,Trigger feels loose,Synthetic support record for PLAYER858: Trigger feels loose.,Closed,Technical,Web
CASE-000338,PLAYER669,ZCT1W-N5974384,Intermittent disconnects,Synthetic support record for PLAYER669: Intermittent disconnects.,New,Technical,Email
CASE-000339,PLAYER065,ZCT1W-S6927248,Controller not charging,Synthetic support record for PLAYER065: Controller not charging.,New,Technical,Phone
CASE-000340,PLAYER313,ZCT2E-E8850178,Trigger feels loose,Synthetic support record for PLAYER313: Trigger feels loose.,New,Technical,Web
CASE-000341,PLAYER566,ZCT1W-R4524641,Trigger feels loose,Synthetic support record for PLAYER566: Trigger feels loose.,Closed,Technical,Web
CASE-000342,PLAYER370,ZCT1W-H2920094,Input lag noticed,Synthetic support record for PLAYER370: Input lag noticed.,Closed,Technical,Phone
CASE-000343,PLAYER799,ZCT1W-E8730320,Right stick drift concern,Synthetic support record for PLAYER799: Right stick drift concern.,Closed,Technical,Phone
CASE-000344,PLAYER314,ZCT2E-S7553588,Trigger feels loose,Synthetic support record for PLAYER314: Trigger feels loose.,Closed,Technical,Phone
CASE-000345,PLAYER554,ZCT1W-E9445000,Trigger feels loose,Synthetic support record for PLAYER554: Trigger feels loose.,Closed,Technical,Email
CASE-000346,PLAYER1000,ZCT2E-R1513307,Input lag noticed,Synthetic support record for PLAYER1000: Input lag noticed.,New,Technical,Phone
CASE-000347,PLAYER644,ZCT1W-R1574162,Right stick drift concern,Synthetic support record for PLAYER644: Right stick drift concern.,Closed,Technical,Phone
CASE-000348,PLAYER945,ZCT1W-P4707319,Trigger feels loose,Synthetic support record for PLAYER945: Trigger feels loose.,Closed,Technical,Phone
CASE-000349,PLAYER695,ZCT1W-C7788683,Trigger feels loose,Synthetic support record for PLAYER695: Trigger feels loose.,Closed,Technical,Web
CASE-000350,PLAYER744,ZCT2E-E4740892,Trigger feels loose,Synthetic support record for PLAYER744: Trigger feels loose.,New,Technical,Web
CASE-000351,PLAYER798,ZCT1W-C1161820,Right stick drift concern,Synthetic support record for PLAYER798: Right stick drift concern.,Closed,Technical,Phone
CASE-000352,PLAYER910,ZCT1W-D1404486,Input lag noticed,Synthetic support record for PLAYER910: Input lag noticed.,Closed,Technical,Email
CASE-000353,PLAYER693,ZCT2E-Q7064346,Trigger feels loose,Synthetic support record for PLAYER693: Trigger feels loose.,Closed,Technical,Phone
CASE-000354,PLAYER043,ZCT2E-W4231751,Input lag noticed,Synthetic support record for PLAYER043: Input lag noticed.,Closed,Technical,Web
CASE-000355,PLAYER662,ZCT1W-D4810526,Trigger feels loose,Synthetic support record for PLAYER662: Trigger feels loose.,Closed,Technical,Email
CASE-000356,PLAYER345,ZCT1W-U1168605,Controller not charging,Synthetic support record for PLAYER345: Controller not charging.,Closed,Technical,Web
CASE-000357,PLAYER517,ZCT1W-M2701295,Right stick drift concern,Synthetic support record for PLAYER517: Right stick drift concern.,New,Technical,Email
CASE-000358,PLAYER566,ZCT1W-R4524641,Right stick drift concern,Synthetic support record for PLAYER566: Right stick drift concern.,New,Technical,Phone
CASE-000359,PLAYER401,ZCT2E-R8363801,Intermittent disconnects,Synthetic support record for PLAYER401: Intermittent disconnects.,New,Technical,Web
CASE-000360,PLAYER877,ZCT2E-R4400718,Trigger feels loose,Synthetic support record for PLAYER877: Trigger feels loose.,Closed,Technical,Email
CASE-000361,PLAYER043,ZCT2E-W4231751,Input lag noticed,Synthetic support record for PLAYER043: Input lag noticed.,Closed,Technical,Web
CASE-000362,PLAYER252,ZCT1W-J5969984,Right stick drift concern,Synthetic support record for PLAYER252: Right stick drift concern.,Closed,Technical,Phone
CASE-000363,PLAYER868,ZCT1W-M4612279,Right stick drift concern,Synthetic support record for PLAYER868: Right stick drift concern.,Closed,Technical,Email
CASE-000364,PLAYER930,ZCT2E-V8110991,Right stick drift concern,Synthetic support record for PLAYER930: Right stick drift concern.,New,Technical,Email
CASE-000365,PLAYER693,ZCT2E-Q7064346,Intermittent disconnects,Synthetic support record for PLAYER693: Intermittent disconnects.,Closed,Technical,Phone
CASE-000366,PLAYER540,ZCT2E-W6515543,Right stick drift concern,Synthetic support record for PLAYER540: Right stick drift concern.,New,Technical,Email
CASE-000367,PLAYER749,ZCT2E-F2402709,Right stick drift concern,Synthetic support record for PLAYER749: Right stick drift concern.,Closed,Technical,Web
CASE-000368,PLAYER860,ZCT1W-G6009840,Trigger feels loose,Synthetic support record for PLAYER860: Trigger feels loose.,Closed,Technical,Phone
CASE-000369,PLAYER190,ZCT2E-D7818036,Right stick drift concern,Synthetic support record for PLAYER190: Right stick drift concern.,Closed,Technical,Web
CASE-000370,PLAYER375,ZCT2E-K3400475,Trigger feels loose,Synthetic support record for PLAYER375: Trigger feels loose.,New,Technical,Email
CASE-000371,PLAYER419,ZCT1W-X8128056,Intermittent disconnects,Synthetic support record for PLAYER419: Intermittent disconnects.,New,Technical,Email
CASE-000372,PLAYER615,ZCT2E-M8479960,Input lag noticed,Synthetic support record for PLAYER615: Input lag noticed.,New,Technical,Web
CASE-000373,PLAYER177,ZCT2E-X2568722,Controller not charging,Synthetic support record for PLAYER177: Controller not charging.,Closed,Technical,Web
CASE-000374,PLAYER884,ZCT1W-B6762197,Right stick drift concern,Synthetic support record for PLAYER884: Right stick drift concern.,Closed,Technical,Phone
CASE-000375,PLAYER161,ZCT1W-A7410771,Input lag noticed,Synthetic support record for PLAYER161: Input lag noticed.,Closed,Technical,Web
CASE-000376,PLAYER062,ZCT2E-T6789156,Right stick drift concern,Synthetic support record for PLAYER062: Right stick drift concern.,Closed,Technical,Email
CASE-000377,PLAYER823,ZCT1W-L6211203,Input lag noticed,Synthetic support record for PLAYER823: Input lag noticed.,Closed,Technical,Email
CASE-000378,PLAYER672,ZCT2E-E3412422,Input lag noticed,Synthetic support record for PLAYER672: Input lag noticed.,Closed,Technical,Web
CASE-000379,PLAYER729,ZCT2E-G7782771,Right stick drift concern,Synthetic support record for PLAYER729: Right stick drift concern.,Closed,Technical,Email
CASE-000380,PLAYER855,ZCT1W-U9245415,Right stick drift concern,Synthetic support record for PLAYER855: Right stick drift concern.,Closed,Technical,Web
CASE-000381,PLAYER920,ZCT2E-N1464145,Intermittent disconnects,Synthetic support record for PLAYER920: Intermittent disconnects.,Closed,Technical,Email
CASE-000382,PLAYER466,ZCT2E-M6230495,Right stick drift concern,Synthetic support record for PLAYER466: Right stick drift concern.,Closed,Technical,Phone
CASE-000383,PLAYER113,ZCT2E-A2785812,Right stick drift concern,Synthetic support record for PLAYER113: Right stick drift concern.,Closed,Technical,Web
CASE-000384,PLAYER582,ZCT1W-L9513036,Trigger feels loose,Synthetic support record for PLAYER582: Trigger feels loose.,Closed,Technical,Web
CASE-000385,PLAYER998,ZCT1W-F9072754,Trigger feels loose,Synthetic support record for PLAYER998: Trigger feels loose.,New,Technical,Web
CASE-000386,PLAYER882,ZCT2E-X7842181,Controller not charging,Synthetic support record for PLAYER882: Controller not charging.,New,Technical,Web
CASE-000387,PLAYER226,ZCT2E-R4342651,Intermittent disconnects,Synthetic support record for PLAYER226: Intermittent disconnects.,Closed,Technical,Email
CASE-000388,PLAYER002,ZCT1W-4E5F6G7H,Input lag noticed,Synthetic support record for PLAYER002: Input lag noticed.,Closed,Technical,Web
CASE-000389,PLAYER234,ZCT2E-M3433361,Right stick drift concern,Synthetic support record for PLAYER234: Right stick drift concern.,Closed,Technical,Web
CASE-000390,PLAYER093,ZCT2E-H6366039,Controller not charging,Synthetic support record for PLAYER093: Controller not charging.,Closed,Technical,Phone
CASE-000391,PLAYER674,ZCT2E-E7735054,Right stick drift concern,Synthetic support record for PLAYER674: Right stick drift concern.,Closed,Technical,Email
CASE-000392,PLAYER280,ZCT2E-W2810792,Trigger feels loose,Synthetic support record for PLAYER280: Trigger feels loose.,Closed,Technical,Phone
CASE-000393,PLAYER892,ZCT1W-T2620464,Trigger feels loose,Synthetic support record for PLAYER892: Trigger feels loose.,New,Technical,Phone
CASE-000394,PLAYER412,ZCT1W-U7311740,Intermittent disconnects,Synthetic support record for PLAYER412: Intermittent disconnects.,Closed,Technical,Web
CASE-000395,PLAYER857,ZCT1W-W5721396,Trigger feels loose,Synthetic support record for PLAYER857: Trigger feels loose.,Closed,Technical,Email
